candidate_id,rank,score,reasoning
CAND_0066999,71,68.84,"Recommendation Systems Engineer, 5.9 yrs, is a top-100 inclusion fit for the role's retrieval/ranking mandate; the strongest evidence is Recommendation Systems Engineer work at Microsoft around rag, ranking, recommendation. Skills/signals check out via expert OpenSearch (48m), expert FAISS (54m), expert LLMs (94m), with solid recruiter response (0.63), short 15d notice, 29 recruiter saves in 30d; based in a target Indian metro (Delhi, Delhi). Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
CAND_0041611,72,68.78,"The fit at rank 72 comes from search/ranking-style work rather than a generic ML label: retrieval, semantic search, dense retrieval appears in the Staff Machine Learning Engineer work at Locobuzz. With 6.4 yrs, expert Qdrant (70m), advanced Weaviate (49m), advanced Fine-tuning LLMs (57m), recruiter response is only 0.07, short 30d notice, last active 2025-12-03, and outside India (Austin) but marked willing to relocate, the profile lines up with Redrob's founding AI-engineer brief. Reason it is not ranked higher: low recruiter response rate (0.07)."
CAND_0051292,73,68.64,"Applied ML Engineer, 5.2 yrs, is a top-100 inclusion fit for the role's retrieval/ranking mandate; the strongest evidence is Search Engineer work at Vedantu around retrieval, semantic search, bm25. Skills/signals check out via advanced FAISS (21m), advanced BentoML (32m), advanced LLMs (28m), with solid recruiter response (0.52), short 30d notice, 9 recruiter saves in 30d; India-based in Trivandrum, Kerala. Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
CAND_0026532,74,68.44,"Recommendation Systems Engineer, 4.8 yrs, is a top-100 inclusion fit for the role's retrieval/ranking mandate; the strongest evidence is Recommendation Systems Engineer work at Zomato around retrieval, semantic search, bm25. Skills/signals check out via advanced LoRA (42m), expert Embeddings (44m), expert Semantic Search (69m), with solid recruiter response (0.52), 90d notice, 42 recruiter saves in 30d; based in a target Indian metro (Chennai, Tamil Nadu). Reason it is not ranked higher: recent activity is weak (last active 2026-03-28)."
CAND_0044883,75,68.44,"I would keep this as a top-100 inclusion profile because the experience is not just AI keywords: Recommendation Systems Engineer at Meesho in E-commerce maps to retrieval, semantic search, bm25. They have 6.3 yrs overall, advanced Embeddings (45m), intermediate Data Science (14m), expert QLoRA (80m), plus very responsive to recruiters (0.84), 90d notice, 59 recruiter saves in 30d; outside India (Berlin) but marked willing to relocate. Reason it is not ranked higher: location/logistics are weaker than the core technical fit."
CAND_0061339,76,68.37,"Search Engineer, 4.2 yrs, is a top-100 inclusion fit for the role's retrieval/ranking mandate; the strongest evidence is Search Engineer work at Rephrase.ai around retrieval, embedding, ranking. Skills/signals check out via expert Information Retrieval (95m), expert Milvus (70m), advanced BentoML (21m), with very responsive to recruiters (0.90), 90d notice, 9 recruiter saves in 30d; India-based and willing to relocate from Chandigarh, Chandigarh. Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
CAND_0079064,77,68.35,"The fit at rank 77 comes from search/ranking-style work rather than a generic ML label: retrieval, semantic search, bm25 appears in the Senior Data Scientist work at Niramai. With 5.2 yrs, expert OpenSearch (70m), expert Semantic Search (76m), expert Fine-tuning LLMs (95m), very responsive to recruiters (0.91), 120d notice, 0.93 interview completion, and already in a preferred office market (Noida, Uttar Pradesh), the profile lines up with Redrob's founding AI-engineer brief. Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0049896,78,68.07,"I would keep this as a top-100 inclusion profile because the experience is not just AI keywords: Applied ML Engineer at Flipkart in E-commerce maps to retrieval, embedding, rag. They have 7.3 yrs overall, advanced Sentence Transformers (40m), intermediate Kubeflow (16m), advanced Data Science (58m), plus recruiter response is only 0.43, 90d notice, 44 recruiter saves in 30d; India-based and willing to relocate from Vizag, Andhra Pradesh. Reason it is not ranked higher: passive candidate signal is weaker than higher-ranked profiles."
CAND_0094056,79,67.84,"The fit at rank 79 comes from search/ranking-style work rather than a generic ML label: retrieval, semantic search, bm25 appears in the NLP Engineer work at Rephrase.ai. With 5.9 yrs, advanced MLflow (32m), expert Pinecone (43m), expert Milvus (43m), very responsive to recruiters (0.82), 120d notice, 0.89 interview completion, and based in a target Indian metro (Chennai, Tamil Nadu), the profile lines up with Redrob's founding AI-engineer brief. Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0009024,80,67.83,"Rank 80 is a top-100 inclusion match: Search Engineer with 5.2 yrs total, and the best evidence in a Search Engineer stint at Google (33 months) covering retrieval, embedding, ranking. The supporting signals are advanced Qdrant (31m), advanced FAISS (32m), advanced MLOps (45m), based in a target Indian metro (Chennai, Tamil Nadu), and recruiter response is only 0.46, short 30d notice, 16 recruiter saves in 30d. Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
CAND_0064904,81,67.83,"AI Engineer, 4.9 yrs, is a top-100 inclusion fit for the role's retrieval/ranking mandate; the strongest evidence is Applied ML Engineer work at Freshworks around retrieval, embedding, ranking. Skills/signals check out via expert Embeddings (74m), advanced Hugging Face Transformers (36m), expert Elasticsearch (71m), with very responsive to recruiters (0.78), 90d notice, 0.85 interview completion; based in a target Indian metro (Hyderabad, Telangana). Reason it is not ranked higher: recent activity is weak (last active 2026-03-17)."
CAND_0009691,82,67.75,"Rank 82 is a top-100 inclusion match: Applied ML Engineer with 6.2 yrs total, and the best evidence in a Applied ML Engineer stint at LinkedIn (28 months) covering semantic search, embedding, ranking. The supporting signals are advanced BentoML (52m), expert Recommendation Systems (54m), expert Fine-tuning LLMs (68m), India-based and willing to relocate from Indore, Madhya Pradesh, and solid recruiter response (0.64), 120d notice, last active 2026-05-16. Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0052682,83,67.75,"This is a top-100 rather than top-tier pick: NLP Engineer with 6.6 yrs has enough retrieval/ranking relevance through NLP Engineer work at Aganitha (embedding, rag, ranking). Named skills/signals supporting the rank: expert QLoRA (76m), expert Semantic Search (89m), expert FAISS (76m); very responsive to recruiters (0.88), short 30d notice, 0.88 interview completion; India-based in Vizag, Andhra Pradesh. Reason it is not ranked higher: recent activity is weak (last active 2026-03-28)."
CAND_0074225,84,67.75,"Machine Learning Engineer, 4.3 yrs, is a top-100 inclusion fit for the role's retrieval/ranking mandate; the strongest evidence is Machine Learning Engineer work at Mad Street Den around retrieval, embedding, rag. Skills/signals check out via advanced Recommendation Systems (58m), advanced Semantic Search (26m), expert Elasticsearch (37m), with very responsive to recruiters (0.91), 120d notice, 0.80 interview completion; India-based and willing to relocate from Vizag, Andhra Pradesh. Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0044222,85,67.69,"This profile earns rank 85 mainly on JD-critical evidence: retrieval, semantic search, bm25 from AI Engineer work at PolicyBazaar, not generic AI interest. The concrete facts are AI Engineer, 7.7 yrs, advanced Vector Search (34m), expert OpenSearch (75m), advanced Qdrant (26m), and Redrob availability signals of solid recruiter response (0.60), manageable 60d notice, 0.89 interview completion; India-based in Vizag, Andhra Pradesh. Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
CAND_0040117,86,67.68,"This profile earns rank 86 mainly on JD-critical evidence: retrieval, embedding, rag from Recommendation Systems Engineer work at PhonePe, not generic AI interest. The concrete facts are Recommendation Systems Engineer, 6.5 yrs, expert Embeddings (63m), expert RAG (95m), expert FAISS (73m), and Redrob availability signals of solid recruiter response (0.66), short 15d notice, 28 recruiter saves in 30d; India-based in Vizag, Andhra Pradesh. Reason it is not ranked higher: recent activity is weak (last active 2026-03-17)."
CAND_0081053,87,67.59,"NLP Engineer, 5.4 yrs, is a top-100 inclusion fit for the role's retrieval/ranking mandate; the strongest evidence is Machine Learning Engineer work at Salesforce around semantic search, embedding, ranking. Skills/signals check out via expert LoRA (52m), expert QLoRA (39m), advanced Qdrant (50m), with very responsive to recruiters (0.83), 90d notice, 40 recruiter saves in 30d; India-based and willing to relocate from Chandigarh, Chandigarh. Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
CAND_0010685,88,67.54,"I would keep this as a top-100 inclusion profile because the experience is not just AI keywords: Machine Learning Engineer at Mad Street Den in AI/ML maps to retrieval, semantic search, bm25. They have 6.7 yrs overall, expert Information Retrieval (41m), expert Elasticsearch (78m), advanced MLflow (43m), plus very responsive to recruiters (0.83), short 30d notice, 0.89 interview completion; India-based in Kolkata, West Bengal. Reason it is not ranked higher: recent activity is weak (last active 2026-03-16)."
CAND_0030031,89,67.31,"I would keep this as a top-100 inclusion profile because the experience is not just AI keywords: AI Engineer at Microsoft in Software maps to embedding, rag, ranking. They have 5.7 yrs overall, advanced Information Retrieval (19m), expert Python (57m), expert RAG (45m), plus very responsive to recruiters (0.94), short 30d notice, 0.81 interview completion; India-based in Trivandrum, Kerala. Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
CAND_0016163,90,67.21,"Rank 90 is a top-100 inclusion match: Applied ML Engineer with 6.7 yrs total, and the best evidence in a Applied ML Engineer stint at Verloop.io (40 months) covering retrieval, semantic search, bm25. The supporting signals are advanced Hugging Face Transformers (41m), expert Weaviate (36m), advanced Embeddings (48m), based in a target Indian metro (Gurgaon, Haryana), and solid recruiter response (0.72), 120d notice, 13 recruiter saves in 30d. Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0074735,91,67.13,"This profile earns rank 91 mainly on JD-critical evidence: embedding, rag, ranking from Search Engineer work at Rephrase.ai, not generic AI interest. The concrete facts are Applied ML Engineer, 5.5 yrs, expert RAG (60m), advanced Weaviate (43m), expert Information Retrieval (55m), and Redrob availability signals of very responsive to recruiters (0.77), 90d notice, 31 recruiter saves in 30d; India-based in Chandigarh, Chandigarh. Reason it is not ranked higher: recent activity is weak (last active 2026-03-28)."
CAND_0030348,92,67.10,"Machine Learning Engineer, 4.5 yrs, is a top-100 inclusion fit for the role's retrieval/ranking mandate; the strongest evidence is Machine Learning Engineer work at BYJU'S around retrieval, semantic search, bm25. Skills/signals check out via advanced MLOps (29m), advanced Embeddings (35m), advanced Vector Search (47m), with solid recruiter response (0.54), manageable 45d notice, 0.93 interview completion; already in a preferred office market (Noida, Uttar Pradesh). Reason it is not ranked higher: recent activity is weak (last active 2026-03-30)."
CAND_0030468,93,67.09,"I would keep this as a top-100 inclusion profile because the experience is not just AI keywords: Senior Applied Scientist at Swiggy in Food Delivery maps to retrieval, ranking, a/b test. They have 5.4 yrs overall, expert OpenSearch (95m), expert Milvus (85m), expert Recommendation Systems (79m), plus very responsive to recruiters (0.78), manageable 45d notice, 0.82 interview completion; India-based and willing to relocate from Indore, Madhya Pradesh. Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
CAND_0031593,94,66.90,"The fit at rank 94 comes from search/ranking-style work rather than a generic ML label: retrieval, embedding, rag appears in the Search Engineer work at Aganitha. With 7.8 yrs, advanced Hugging Face Transformers (32m), advanced BentoML (51m), advanced Recommendation Systems (18m), solid recruiter response (0.58), 90d notice, 17 recruiter saves in 30d, and India-based and willing to relocate from Kolkata, West Bengal, the profile lines up with Redrob's founding AI-engineer brief. Reason it is not ranked higher: recent activity is weak (last active 2026-03-19)."
CAND_0099401,95,66.84,"This is a top-100 rather than top-tier pick: NLP Engineer with 7.7 yrs has enough retrieval/ranking relevance through NLP Engineer work at Dream11 (retrieval, embedding, ranking). Named skills/signals supporting the rank: expert Embeddings (63m), expert Qdrant (71m), expert Information Retrieval (51m); recruiter response is only 0.42, 90d notice, 62 recruiter saves in 30d; India-based and willing to relocate from Ahmedabad, Gujarat. Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
CAND_0084819,96,66.60,"I would keep this as a top-100 inclusion profile because the experience is not just AI keywords: Search Engineer at Dream11 in Gaming maps to retrieval, embedding, rag. They have 4.5 yrs overall, advanced Semantic Search (21m), intermediate MLOps (20m), expert OpenSearch (78m), plus solid recruiter response (0.74), 120d notice, 0.82 interview completion; India-based in Indore, Madhya Pradesh. Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0022812,97,66.58,"This is a top-100 rather than top-tier pick: Applied ML Engineer with 4.5 yrs has enough retrieval/ranking relevance through Applied ML Engineer work at Dream11 (retrieval, semantic search, ranking). Named skills/signals supporting the rank: advanced Weaviate (38m), expert Pinecone (89m), expert LoRA (55m); very responsive to recruiters (0.79), manageable 60d notice, 51 recruiter saves in 30d; India-based and willing to relocate from Coimbatore, Tamil Nadu. Reason it is not ranked higher: recent activity is weak (last active 2026-03-19)."
CAND_0091909,98,66.39,"I would keep this as a top-100 inclusion profile because the experience is not just AI keywords: Machine Learning Engineer at Rephrase.ai in AI/ML maps to retrieval, embedding, ranking. They have 6.9 yrs overall, expert LLMs (69m), expert Pinecone (84m), expert QLoRA (89m), plus solid recruiter response (0.65), manageable 45d notice, 64 recruiter saves in 30d; based in a target Indian metro (Bangalore, Karnataka). Reason it is not ranked higher: recent activity is weak (last active 2026-03-18)."
CAND_0037566,99,66.33,"I would keep this as a top-100 inclusion profile because the experience is not just AI keywords: Machine Learning Engineer at LinkedIn in Internet maps to retrieval, embedding, rag. They have 6.9 yrs overall, expert Pinecone (74m), advanced LoRA (58m), expert QLoRA (61m), plus solid recruiter response (0.50), short 15d notice, 0.84 interview completion; based in a target Indian metro (Bangalore, Karnataka). Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
CAND_0087364,100,66.08,"Recommendation Systems Engineer, 4.9 yrs, is a top-100 inclusion fit for the role's retrieval/ranking mandate; the strongest evidence is Recommendation Systems Engineer work at Rephrase.ai around retrieval, ranking, recommendation. Skills/signals check out via advanced Qdrant (43m), expert Milvus (46m), expert Pinecone (46m), with recruiter response is only 0.48, short 30d notice, 0.84 interview completion; based in a target Indian metro (Gurgaon, Haryana). Reason it is not ranked higher: good enough for the top 100, but the evidence is less distinctive than higher ranks."
